Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Dec 1 2017,8:00 pm,Sacramento Kings,107,Chicago Bulls,106,Box Score,,
Fri Dec 1 2017,8:00 pm,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,
Fri Dec 1 2017,8:00 pm,Charlotte Hornets,100,Miami Heat,105,Box Score,,
Fri Dec 1 2017,8:00 pm,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,
Fri Dec 1 2017,7:00 pm,Golden State Warriors,133,Orlando Magic,112,Box Score,,
Fri Dec 1 2017,7:30 pm,Indiana Pacers,115,Toronto Raptors,120,Box Score,,
Fri Dec 1 2017,9:00 pm,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,
Fri Dec 1 2017,7:00 pm,Detroit Pistons,91,Washington Wizards,109,Box Score,,
Sat Dec 2 2017,1:00 pm,Phoenix Suns,111,Boston Celtics,116,Box Score,,
Sat Dec 2 2017,3:00 pm,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,
Sat Dec 2 2017,7:30 pm,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,
Sat Dec 2 2017,2:00 pm,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,
Sat Dec 2 2017,9:00 pm,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,
Sat Dec 2 2017,8:30 pm,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,
Sat Dec 2 2017,7:30 pm,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,
Sat Dec 2 2017,10:00 pm,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,
Sun Dec 3 2017,9:30 pm,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,
Sun Dec 3 2017,7:00 pm,Golden State Warriors,123,Miami Heat,95,Box Score,,
Sun Dec 3 2017,7:00 pm,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,
Sun Dec 3 2017,3:30 pm,Orlando Magic,105,New York Knicks,100,Box Score,,
Sun Dec 3 2017,7:00 pm,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,
Mon Dec 4 2017,7:30 pm,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,
Mon Dec 4 2017,7:30 pm,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,
Mon Dec 4 2017,8:00 pm,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,
Mon Dec 4 2017,7:00 pm,Orlando Magic,94,Charlotte Hornets,104,Box Score,,
Mon Dec 4 2017,8:30 pm,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,
Mon Dec 4 2017,7:00 pm,New York Knicks,97,Indiana Pacers,115,Box Score,,
Mon Dec 4 2017,8:00 pm,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,
Mon Dec 4 2017,8:00 pm,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,
Mon Dec 4 2017,7:00 pm,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,
Mon Dec 4 2017,8:30 pm,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,
Mon Dec 4 2017,9:00 pm,Washington Wizards,69,Utah Jazz,116,Box Score,,
Tue Dec 5 2017,8:00 pm,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,
Tue Dec 5 2017,10:00 pm,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,
Tue Dec 5 2017,7:30 pm,Phoenix Suns,113,Toronto Raptors,126,Box Score,,
Wed Dec 6 2017,7:30 pm,Dallas Mavericks,90,Boston Celtics,97,Box Score,,
Wed Dec 6 2017,8:00 pm,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,
Wed Dec 6 2017,7:00 pm,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,
Wed Dec 6 2017,7:00 pm,Chicago Bulls,96,Indiana Pacers,98,Box Score,,
Wed Dec 6 2017,10:30 pm,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,
Wed Dec 6 2017,8:00 pm,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,
Wed Dec 6 2017,8:00 pm,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,
Wed Dec 6 2017,7:30 pm,Memphis Grizzlies,88,New York Knicks,99,Box Score,,
Wed Dec 6 2017,7:00 pm,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,
Wed Dec 6 2017,8:30 pm,Miami Heat,105,San Antonio Spurs,117,Box Score,,
Thu Dec 7 2017,10:00 pm,Oklahoma City Thunder,95,Brooklyn Nets,100,Box Score,,
Thu Dec 7 2017,8:00 pm,Los Angeles Lakers,107,Philadelphia 76ers,104,Box Score,,
Thu Dec 7 2017,9:00 pm,Washington Wizards,109,Phoenix Suns,99,Box Score,,
Thu Dec 7 2017,10:30 pm,Houston Rockets,112,Utah Jazz,101,Box Score,,
Fri Dec 8 2017,7:00 pm,Chicago Bulls,119,Charlotte Hornets,111,Box Score,OT,
Fri Dec 8 2017,7:00 pm,Golden State Warriors,102,Detroit Pistons,98,Box Score,,
Fri Dec 8 2017,7:00 pm,Cleveland Cavaliers,102,Indiana Pacers,106,Box Score,,
Fri Dec 8 2017,8:00 pm,Toronto Raptors,116,Memphis Grizzlies,107,Box Score,,
Fri Dec 8 2017,8:00 pm,Dallas Mavericks,102,Milwaukee Bucks,109,Box Score,,
Fri Dec 8 2017,8:00 pm,Sacramento Kings,116,New Orleans Pelicans,109,Box Score,OT,
Fri Dec 8 2017,7:00 pm,Denver Nuggets,103,Orlando Magic,89,Box Score,,
Fri Dec 8 2017,9:30 pm,Boston Celtics,102,San Antonio Spurs,105,Box Score,,
Sat Dec 9 2017,7:30 pm,Orlando Magic,110,Atlanta Hawks,117,Box Score,,
Sat Dec 9 2017,6:00 pm,Miami Heat,101,Brooklyn Nets,89,Box Score,,
Sat Dec 9 2017,8:00 pm,New York Knicks,102,Chicago Bulls,104,Box Score,,
Sat Dec 9 2017,7:00 pm,Los Angeles Lakers,110,Charlotte Hornets,99,Box Score,,
Sat Dec 9 2017,8:00 pm,Philadelphia 76ers,98,Cleveland Cavaliers,105,Box Score,,
Sat Dec 9 2017,3:30 pm,Washington Wizards,112,Los Angeles Clippers,113,Box Score,,
Sat Dec 9 2017,9:00 pm,Oklahoma City Thunder,102,Memphis Grizzlies,101,Box Score,OT,
Sat Dec 9 2017,8:30 pm,Utah Jazz,100,Milwaukee Bucks,117,Box Score,,
Sat Dec 9 2017,9:00 pm,San Antonio Spurs,104,Phoenix Suns,101,Box Score,,
Sat Dec 9 2017,10:00 pm,Houston Rockets,124,Portland Trail Blazers,117,Box Score,,
Sun Dec 10 2017,4:00 pm,Boston Celtics,91,Detroit Pistons,81,Box Score,,
Sun Dec 10 2017,5:00 pm,Denver Nuggets,116,Indiana Pacers,126,Box Score,OT,
Sun Dec 10 2017,7:00 pm,Dallas Mavericks,92,Minnesota Timberwolves,97,Box Score,,
Sun Dec 10 2017,7:00 pm,Philadelphia 76ers,124,New Orleans Pelicans,131,Box Score,,
Sun Dec 10 2017,7:30 pm,Atlanta Hawks,107,New York Knicks,111,Box Score,,
Sun Dec 10 2017,3:30 pm,Toronto Raptors,102,Sacramento Kings,87,Box Score,,
Mon Dec 11 2017,8:00 pm,Boston Celtics,85,Chicago Bulls,108,Box Score,,
Mon Dec 11 2017,10:30 pm,Portland Trail Blazers,104,Golden State Warriors,111,Box Score,,
Mon Dec 11 2017,8:00 pm,New Orleans Pelicans,123,Houston Rockets,130,Box Score,,
Mon Dec 11 2017,10:30 pm,Toronto Raptors,91,Los Angeles Clippers,96,Box Score,,
Mon Dec 11 2017,8:00 pm,Miami Heat,107,Memphis Grizzlies,82,Box Score,,
Mon Dec 11 2017,8:00 pm,Charlotte Hornets,116,Oklahoma City Thunder,103,Box Score,,
Tue Dec 12 2017,7:30 pm,Washington Wizards,98,Brooklyn Nets,103,Box Score,,
Tue Dec 12 2017,7:00 pm,Atlanta Hawks,114,Cleveland Cavaliers,123,Box Score,,
Tue Dec 12 2017,8:30 pm,San Antonio Spurs,89,Dallas Mavericks,95,Box Score,,
Tue Dec 12 2017,7:00 pm,Denver Nuggets,103,Detroit Pistons,84,Box Score,,
Tue Dec 12 2017,9:30 pm,Philadelphia 76ers,118,Minnesota Timberwolves,112,Box Score,OT,
Tue Dec 12 2017,7:00 pm,Los Angeles Lakers,109,New York Knicks,113,Box Score,OT,
Tue Dec 12 2017,10:00 pm,Phoenix Suns,92,Sacramento Kings,99,Box Score,,
Wed Dec 13 2017,7:30 pm,Denver Nuggets,118,Boston Celtics,124,Box Score,,
Wed Dec 13 2017,8:00 pm,Utah Jazz,100,Chicago Bulls,103,Box Score,,
Wed Dec 13 2017,9:30 pm,Charlotte Hornets,96,Houston Rockets,108,Box Score,,
Wed Dec 13 2017,7:00 pm,Oklahoma City Thunder,100,Indiana Pacers,95,Box Score,,
Wed Dec 13 2017,7:30 pm,Portland Trail Blazers,102,Miami Heat,95,Box Score,,
Wed Dec 13 2017,8:00 pm,Milwaukee Bucks,108,New Orleans Pelicans,115,Box Score,,
Wed Dec 13 2017,7:00 pm,Los Angeles Clippers,106,Orlando Magic,95,Box Score,,
Wed Dec 13 2017,9:00 pm,Toronto Raptors,115,Phoenix Suns,109,Box Score,,
Wed Dec 13 2017,7:00 pm,Memphis Grizzlies,87,Washington Wizards,93,Box Score,,
Thu Dec 14 2017,7:30 pm,Detroit Pistons,105,Atlanta Hawks,91,Box Score,,
Thu Dec 14 2017,7:30 pm,New York Knicks,111,Brooklyn Nets,104,Box Score,,
Thu Dec 14 2017,8:00 pm,Los Angeles Lakers,112,Cleveland Cavaliers,121,Box Score,,
Thu Dec 14 2017,10:30 pm,Dallas Mavericks,97,Golden State Warriors,112,Box Score,,
Thu Dec 14 2017,8:00 pm,Sacramento Kings,96,Minnesota Timberwolves,119,Box Score,,
Fri Dec 15 2017,7:30 pm,Utah Jazz,107,Boston Celtics,95,Box Score,,
Fri Dec 15 2017,7:00 pm,Miami Heat,104,Charlotte Hornets,98,Box Score,,
Fri Dec 15 2017,9:00 pm,New Orleans Pelicans,111,Denver Nuggets,117,Box Score,OT,
Fri Dec 15 2017,9:30 pm,San Antonio Spurs,109,Houston Rockets,124,Box Score,,
Fri Dec 15 2017,7:00 pm,Detroit Pistons,104,Indiana Pacers,98,Box Score,,
Fri Dec 15 2017,8:00 pm,Atlanta Hawks,94,Memphis Grizzlies,96,Box Score,,
Fri Dec 15 2017,8:00 pm,Chicago Bulls,115,Milwaukee Bucks,109,Box Score,,
Fri Dec 15 2017,7:00 pm,Portland Trail Blazers,95,Orlando Magic,88,Box Score,,
Fri Dec 15 2017,7:00 pm,Oklahoma City Thunder,119,Philadelphia 76ers,117,Box Score,3OT,
Fri Dec 15 2017,7:30 pm,Brooklyn Nets,87,Toronto Raptors,120,Box Score,,
Fri Dec 15 2017,7:00 pm,Los Angeles Clippers,91,Washington Wizards,100,Box Score,,
Sat Dec 16 2017,7:00 pm,Portland Trail Blazers,93,Charlotte Hornets,91,Box Score,,
Sat Dec 16 2017,7:30 pm,Utah Jazz,100,Cleveland Cavaliers,109,Box Score,,
Sat Dec 16 2017,8:00 pm,Milwaukee Bucks,111,Houston Rockets,115,Box Score,,
Sat Dec 16 2017,9:00 pm,Boston Celtics,102,Memphis Grizzlies,93,Box Score,,
Sat Dec 16 2017,8:00 pm,Los Angeles Clippers,85,Miami Heat,90,Box Score,,
Sat Dec 16 2017,8:00 pm,Phoenix Suns,108,Minnesota Timberwolves,106,Box Score,,
Sat Dec 16 2017,7:30 pm,Oklahoma City Thunder,96,New York Knicks,111,Box Score,,
Sat Dec 16 2017,8:30 pm,Dallas Mavericks,96,San Antonio Spurs,98,Box Score,,
Sun Dec 17 2017,6:00 pm,Indiana Pacers,109,Brooklyn Nets,97,Box Score,,
Sun Dec 17 2017,4:00 pm,Orlando Magic,110,Detroit Pistons,114,Box Score,,
Sun Dec 17 2017,3:30 pm,Sacramento Kings,93,Toronto Raptors,108,Box Score,,
Sun Dec 17 2017,6:00 pm,Cleveland Cavaliers,106,Washington Wizards,99,Box Score,,
Mon Dec 18 2017,7:30 pm,Miami Heat,104,Atlanta Hawks,110,Box Score,,
Mon Dec 18 2017,8:00 pm,Philadelphia 76ers,115,Chicago Bulls,117,Box Score,,
Mon Dec 18 2017,7:00 pm,New York Knicks,91,Charlotte Hornets,109,Box Score,,
Mon Dec 18 2017,8:30 pm,Phoenix Suns,97,Dallas Mavericks,91,Box Score,,
Mon Dec 18 2017,8:00 pm,Utah Jazz,99,Houston Rockets,120,Box Score,,
Mon Dec 18 2017,7:00 pm,Boston Celtics,112,Indiana Pacers,111,Box Score,,
Mon Dec 18 2017,10:30 pm,Golden State Warriors,116,Los Angeles Lakers,114,Box Score,OT,
Mon Dec 18 2017,8:00 pm,Portland Trail Blazers,107,Minnesota Timberwolves,108,Box Score,,
Mon Dec 18 2017,8:00 pm,Denver Nuggets,94,Oklahoma City Thunder,95,Box Score,,
Mon Dec 18 2017,8:30 pm,Los Angeles Clippers,91,San Antonio Spurs,109,Box Score,,
Tue Dec 19 2017,8:00 pm,Cleveland Cavaliers,116,Milwaukee Bucks,119,Box Score,,
Tue Dec 19 2017,7:00 pm,Sacramento Kings,101,Philadelphia 76ers,95,Box Score,,
Tue Dec 19 2017,7:00 pm,New Orleans Pelicans,106,Washington Wizards,116,Box Score,,
Wed Dec 20 2017,7:30 pm,Indiana Pacers,,Atlanta Hawks,,,,
Wed Dec 20 2017,7:30 pm,Miami Heat,,Boston Celtics,,,,
Wed Dec 20 2017,7:30 pm,Sacramento Kings,,Brooklyn Nets,,,,
Wed Dec 20 2017,8:00 pm,Orlando Magic,,Chicago Bulls,,,,
Wed Dec 20 2017,7:00 pm,Toronto Raptors,,Charlotte Hornets,,,,
Wed Dec 20 2017,8:30 pm,Detroit Pistons,,Dallas Mavericks,,,,
Wed Dec 20 2017,9:00 pm,Minnesota Timberwolves,,Denver Nuggets,,,,
Wed Dec 20 2017,10:30 pm,Memphis Grizzlies,,Golden State Warriors,,,,
Wed Dec 20 2017,8:00 pm,Los Angeles Lakers,,Houston Rockets,,,,
Wed Dec 20 2017,10:30 pm,Phoenix Suns,,Los Angeles Clippers,,,,
Wed Dec 20 2017,8:00 pm,Utah Jazz,,Oklahoma City Thunder,,,,
Wed Dec 20 2017,10:00 pm,San Antonio Spurs,,Portland Trail Blazers,,,,
Thu Dec 21 2017,7:00 pm,Chicago Bulls,,Cleveland Cavaliers,,,,
Thu Dec 21 2017,8:00 pm,Boston Celtics,,New York Knicks,,,,
Thu Dec 21 2017,7:00 pm,Toronto Raptors,,Philadelphia 76ers,,,,
Thu Dec 21 2017,9:00 pm,Memphis Grizzlies,,Phoenix Suns,,,,
Thu Dec 21 2017,10:30 pm,San Antonio Spurs,,Utah Jazz,,,,
Fri Dec 22 2017,7:30 pm,Washington Wizards,,Brooklyn Nets,,,,
Fri Dec 22 2017,7:00 pm,New York Knicks,,Detroit Pistons,,,,
Fri Dec 22 2017,10:30 pm,Los Angeles Lakers,,Golden State Warriors,,,,
Fri Dec 22 2017,8:00 pm,Los Angeles Clippers,,Houston Rockets,,,,
Fri Dec 22 2017,8:00 pm,Dallas Mavericks,,Miami Heat,,,,
Fri Dec 22 2017,8:00 pm,Charlotte Hornets,,Milwaukee Bucks,,,,
Fri Dec 22 2017,8:00 pm,Atlanta Hawks,,Oklahoma City Thunder,,,,
Fri Dec 22 2017,7:00 pm,New Orleans Pelicans,,Orlando Magic,,,,
Fri Dec 22 2017,10:00 pm,Denver Nuggets,,Portland Trail Blazers,,,,
Sat Dec 23 2017,7:30 pm,Dallas Mavericks,,Atlanta Hawks,,,,
Sat Dec 23 2017,7:30 pm,Chicago Bulls,,Boston Celtics,,,,
Sat Dec 23 2017,7:00 pm,Milwaukee Bucks,,Charlotte Hornets,,,,
Sat Dec 23 2017,8:30 pm,Denver Nuggets,,Golden State Warriors,,,,
Sat Dec 23 2017,7:00 pm,Brooklyn Nets,,Indiana Pacers,,,,
Sat Dec 23 2017,9:30 pm,Portland Trail Blazers,,Los Angeles Lakers,,,,
Sat Dec 23 2017,8:00 pm,Los Angeles Clippers,,Memphis Grizzlies,,,,
Sat Dec 23 2017,8:00 pm,New Orleans Pelicans,,Miami Heat,,,,
Sat Dec 23 2017,9:00 pm,Minnesota Timberwolves,,Phoenix Suns,,,,
Sat Dec 23 2017,10:00 pm,San Antonio Spurs,,Sacramento Kings,,,,
Sat Dec 23 2017,5:00 pm,Philadelphia 76ers,,Toronto Raptors,,,,
Sat Dec 23 2017,8:00 pm,Oklahoma City Thunder,,Utah Jazz,,,,
Sat Dec 23 2017,7:00 pm,Orlando Magic,,Washington Wizards,,,,
Mon Dec 25 2017,5:30 pm,Washington Wizards,,Boston Celtics,,,,
Mon Dec 25 2017,3:00 pm,Cleveland Cavaliers,,Golden State Warriors,,,,
Mon Dec 25 2017,10:30 pm,Minnesota Timberwolves,,Los Angeles Lakers,,,,
Mon Dec 25 2017,12:00 pm,Philadelphia 76ers,,New York Knicks,,,,
Mon Dec 25 2017,8:00 pm,Houston Rockets,,Oklahoma City Thunder,,,,
Tue Dec 26 2017,7:00 pm,Toronto Raptors,,Dallas Mavericks,,,,
Tue Dec 26 2017,9:00 pm,Utah Jazz,,Denver Nuggets,,,,
Tue Dec 26 2017,7:00 pm,Indiana Pacers,,Detroit Pistons,,,,
Tue Dec 26 2017,10:30 pm,Sacramento Kings,,Los Angeles Clippers,,,,
Tue Dec 26 2017,7:30 pm,Orlando Magic,,Miami Heat,,,,
Tue Dec 26 2017,8:00 pm,Chicago Bulls,,Milwaukee Bucks,,,,
Tue Dec 26 2017,9:00 pm,Memphis Grizzlies,,Phoenix Suns,,,,
Tue Dec 26 2017,8:30 pm,Brooklyn Nets,,San Antonio Spurs,,,,
Wed Dec 27 2017,7:30 pm,Washington Wizards,,Atlanta Hawks,,,,
Wed Dec 27 2017,8:00 pm,New York Knicks,,Chicago Bulls,,,,
Wed Dec 27 2017,7:00 pm,Boston Celtics,,Charlotte Hornets,,,,
Wed Dec 27 2017,10:30 pm,Utah Jazz,,Golden State Warriors,,,,
Wed Dec 27 2017,7:00 pm,Dallas Mavericks,,Indiana Pacers,,,,
Wed Dec 27 2017,10:30 pm,Memphis Grizzlies,,Los Angeles Lakers,,,,
Wed Dec 27 2017,8:00 pm,Denver Nuggets,,Minnesota Timberwolves,,,,
Wed Dec 27 2017,8:00 pm,Brooklyn Nets,,New Orleans Pelicans,,,,
Wed Dec 27 2017,8:00 pm,Toronto Raptors,,Oklahoma City Thunder,,,,
Wed Dec 27 2017,10:00 pm,Cleveland Cavaliers,,Sacramento Kings,,,,
Thu Dec 28 2017,8:00 pm,Houston Rockets,,Boston Celtics,,,,
Thu Dec 28 2017,8:00 pm,Minnesota Timberwolves,,Milwaukee Bucks,,,,
Thu Dec 28 2017,7:00 pm,Detroit Pistons,,Orlando Magic,,,,
Thu Dec 28 2017,10:30 pm,Philadelphia 76ers,,Portland Trail Blazers,,,,
Thu Dec 28 2017,8:30 pm,New York Knicks,,San Antonio Spurs,,,,
Fri Dec 29 2017,8:00 pm,Indiana Pacers,,Chicago Bulls,,,,
